"Field","Subfield","Label","EditTypes","InputAid","Occurs","DBs"
"463","4","Другие города с издательствами  (в формате вывода на печать)","2=dict(,pref=)",",O=,if '***'='4889' then if v488^G:':' then &uf('+7W3#'),&uf('+7W4#'),&uf('+7W10#'),&uf('+7W11#'),&uf('+7W20#'),&uf('+7W21#'),&uf('+7W3#'(if p(v488) then | ; |v488^d,|;---|n488^d,| : |v488^G fi)),&uf('+7W3#'&uf('+9I!: !?:?'g3)),&uf('+7W3#'&uf('+9I! :!?:?'g3)),&uf('+7W3#'&uf('+9I!; !?;?'g3)),&uf('+7W3#'&uf('+9I! ;!?;?'g3)),if g3:':'then &uf('+7W4#'(if &uf('1*R:?g3#1')<>''then &unifor('1*R:?g3#1') fi/)) fi,&uf('+7W10#'(if p(g4) then if g4:';'then &uf(|G2;|g4) else '---' fi fi/)),&uf('+7W11#'(if g4:';'then &uf(|G0;|g4) else g4 fi/)),&uf('+7W20#'(if p(g11) then g11,if g10='---' or g10:'S. l.' or g10:'Б. м.' then '' else|(|g10|)| fi fi/)),(if p(g20) then if &uf('+97'g20)=&uf('Ag1#1') then &uf('+7W21#'if g20:'(' then &uf('G0('g20),'^D'&uf('G0)'&uf('G2('g20)) else g20'^D' fi/) fi fi),g21^d,if &uf('G0^'g21)<>'' then ' : '&uf('G0^'g21) fi fi else if '***'='210' then (v210^a,| ; |v210^x,| ; |v210^y,| : |v210^c/) else if '***'='454' then (v454^g,| : |v454^c/) else (v***^d,| : |v***^g/) fi fi fi/","1","1"
"463","7","Заглавие - сокращение по Госту","0=text",,"5","3"
"463","A","Заглавие 1-й единицы деления(том)","0=text",,"5","3"
"463","C","Заглавие","2=dict(,pref=)",",TP=,@!tmov0","5","3"
"463","D","Город","1=menu(.mnu)","gor.mnu\\1","5","3"
"463","G","Издательство","2=dict(,pref=)",",O=,(if '***'='210' then v210^c,|^D|v210^a,|; |v210^x,|; |v210^y else v***^g,|^D|v***^d fi/)","5","3"
"463","H","Обозначение и № 2-й единицы деления","1=menu(.mnu)","obn.mnu","5","3"
"463","I","Заглавие 2-й единицы деления(выпуск)","0=text",,"5","3"
"463","J","Год издания","0=text",,"5","3"
"463","K","Обозначение и № 3-й единицы деления","1=menu(.mnu)","obn.mnu","5","3"
"463","L","Заглавие 3-й единицы деления(часть)","0=text",,"5","3"
"463","N","Номер статьи","0=text",,"5","3"
"463","P","Примечание","0=text",,"5","3"
"463","R","Параллельное заглавие 1-й единицы деления(том)","0=text",,"3","3"
"463","S","Местоположение - Страницы","0=text",,"5","3"
"463","V","Обозначение и № 1-й единицы деления","1=menu(.mnu)","obn.mnu","5","3"
"463","W","Шифр документа в БД","0=text; 2=dict(,pref=)",",TP=,v903","5","3"
"463","X","Параллельное заглавие 1","0=text",,"3","3"
"463","Y","Параллельное заглавие 2","0=text",,"3","3"
"463","Z","Параллельное заглавие 3","0=text",,"3","3"
"470","#","Имя БД","0=text",,"2","2"
"470","0","Рецензия или Реферат","1=menu(.mnu)","RR.mnu","2","2"
"470","1","Ошибочный ISBN","0=text",,"2","2"
"470","9","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","2","2"
"470","A","Автор - заголовок описания","2=dict(,pref=)",",A=,@!rmova","2","2"
"470","B","ISBN","0=text",,"2","2"
"470","C","Название","2=dict(,pref=)",",T=,@!rmovt","6","5"
"470","D","Выходные данные","1=menu(.mnu); 2=dict(,pref=)","gor.mnu","6","5"
"470","E","Сведения, относящиеся к заглавию","1=menu(.mnu)","200b.mnu","6","5"
"470","F","Сведения об ответственности","2=dict(,pref=)",",A=,@!amovf","6","5"
"470","I","Шифр документа в БД","0=text",,"6","5"
"470","J","Год","0=text",,"4","4"
"470","V","Обозначение и номер единицы деления","1=menu(.mnu)","obn.mnu","6","5"
"470","Y","Идентификационный номер нетекстового материала","0=text",,"2","2"
"470","Z","Авторский знак или систематический шифр","0=text",,"2","2"
"481","-","Место работы автора","2=dict(,pref=)",",MR=,@!amovmr","2","2"
"481","!","1-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athr4811","8","6"
"481",",","расширение инициалов","0=text",,"8","6"
"481",".","2-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athraog2","8","6"
"481",":","3-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athraog3","8","6"
"481",";","расширение инициалов","0=text",,"8","6"
"481","?","расширение инициалов","0=text",,"8","6"
"481","+","Место работы автора","2=dict(,pref=)",",MR=,@!amovmr","2","2"
"481","<","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","7","6"
"481","=","Место работы автора","2=dict(,pref=)",",MR=,@!amovmr","2","2"
"481",">","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","7","6"
"481","0","Иллюстрации","1=menu(.mnu)","il.mnu","18","6"
"481","2","2-й автор (ФИО)","2=dict(,pref=)",",A=,@!amovu","18","6"
"481","3","3-й автор (ФИО)","2=dict(,pref=)",",A=,@!amovu","18","6"
"481","4","Объем (число страниц)","0=text",,"18","6"
"481","5","КЛЮЧЕВЫЕ СЛОВА (тема 1)","2=dict(,pref=)",",K=,","8","6"
"481","6","КЛЮЧЕВЫЕ СЛОВА (тема 2)","2=dict(,pref=)",",K=,","8","6"
"481","7","КЛЮЧЕВЫЕ СЛОВА (тема 3)","2=dict(,pref=)",",K=,","8","6"
"481","9","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu); 7=yes/no","df.mnu","18","6"
"481","A","Заглавие СИ приплетенных номеров","2=dict(,pref=)",",TJ=,@!mov481j","1","1"
"481","B","Инвентарный номер подшивки","0=text",,"1","1"
"481","C","Заглавие","2=dict(,pref=)",",TP=,@!tmov0","18","6"
"481","D","Город","1=menu(.mnu)","gor.mnu\\1","21","6"
"481","E","Сведения, относящиеся к загл.","0=text; 1=menu(.mnu)","200e.mnu","18","6"
"481","F","Сведения об ответственности","0=text; 2=dict(,pref=)",",A=,@!amovf","21","6"
"481","G","Издательство","2=dict(,pref=)",",O=,(if '***'='210' then v210^c,|^D|v210^a,|;|v210^x,|;|v210^y  else v***^g,|^D|v***^d fi/)","18","6"
"481","H","Год издания","0=text",,"21","6"
"481","I","ISBN","0=text",,"19","6"
"481","J","Инвентарный номер","0=text",,"18","6"
"481","K","Обозначение и № 3-й единицы деления (Подраздел)","0=text; 1=menu(.mnu)","obn.mnu","10","6"
"481","L","Заглавие 3-й единицы деления (Подраздел)","0=text",,"8","6"
"481","M","СЕРИЯ - Обозначение и № в серии","1=menu(.mnu)","obs.mnu\\1","7","6"
"481","N","Сведения о переиздании","1=menu(.mnu)","205.mnu\\1","9","6"
"481","P","Примечание","0=text",,"18","6"
"481","Q","Заглавие серии","0=text; 2=dict(,pref=)",",TS=,@!tmov46a","10","6"
"481","R","Обозначение и № 2-й единицы деления (Часть/Раздел)","1=menu(.mnu)","obn.mnu","8","6"
"481","S","Заглавие 2-й единицы деления (Часть/Раздел)","0=text",,"8","6"
"481","U","Роль (Нехарактерное заглавие?)","7=yes/no","rolzp.mnu","8","6"
"481","V","Обозначение и номер тома","0=text",,"8","6"
"481","W","Другие авторы","0=text; 2=dict(,pref=)",",A=,@!amovu","9","6"
"481","X","1-й автор (ФИО)","2=dict(,pref=); 7=yes/no",",A=,@!amovu","19","6"
"481","Y","Идентификационный номер нетекстового материала","0=text; 7=yes/no","danet.mnu","19","6"
"481","Z","Признак общего заглавия многотомника","7=yes/no","df.mnu","9","6"
"488","-","Место работы автора","2=dict(,pref=)",",MR=,@!amovmr","3","3"
"488","!","1-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athr4811","8","7"
"488","#","Имя БД","0=text",,"4","4"
"488","$","Конкретная страница в издании","0=text",,"3","3"
"488",",","расширение инициалов","0=text",,"8","7"
"488",".","2-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athraog2","8","7"
"488",":","3-й автор (Ввод через Authority-файл)","10=authority","ATHRA,A=,1=,@athraog3","8","7"
"488",";","расширение инициалов","0=text",,"8","7"
"488","?","расширение инициалов","0=text",,"9","8"
"488","+","Место работы автора","0=text; 2=dict(,pref=)",",MR=,@!amovmr","4","4"
"488","<","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","12","7"
"488","=","Место работы автора","2=dict(,pref=)",",MR=,@!amovmr","3","3"
"488",">","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","12","7"
"488","0","Иллюстрации","1=menu(.mnu)","il.mnu","8","7"
"488","1","Вид связи","1=menu(.mnu)","488.mnu","17","10"
"488","2","ВТОРОЙ АВТОР (ФИО)","2=dict(,pref=)",",A=,@!amovog2","12","7"
"488","3","ТРЕТИЙ АВТОР (ФИО)","2=dict(,pref=)",",A=,@!amovog3","12","7"
"488","4","Объем (число страниц)","0=text",,"8","7"
"488","5","КЛЮЧЕВЫЕ СЛОВА (тема 1)","2=dict(,pref=)",",K=,","8","7"
"488","6","КЛЮЧЕВЫЕ СЛОВА (тема 2)","2=dict(,pref=)",",K=,","8","7"
"488","7","КЛЮЧЕВЫЕ СЛОВА (тема 3)","2=dict(,pref=)",",K=,","8","7"
"488","8","Выводить в обл. примечаний?","7=yes/no","df.mnu","12","7"
"488","9","Роль (Инвертирование ФИО допустимо?)","0=text; 1=menu(.mnu)","di.mnu","15","9"
"488","A","Название ""связанной"" записи","0=text",,"3","2"
"488","B","Связь с другой записью этой же БД","2=dict(,pref=)",",TO=,""^A""v972^a,"" (""v972^b"")"",""^W""v903,'^9'&unifor('+D')","1","1"
"488","C","Заглавие","2=dict(,pref=)",",T=,@!488movT","14","8"
"488","D","Город","1=menu(.mnu)","gor.mnu\\1","12","7"
"488","E","Сведения, относящиеся к заглавию","1=menu(.mnu)","200e.mnu","13","7"
"488","F","Сведения об ответственности","2=dict(,pref=)",",A=,@!amovf","12","7"
"488","G","Издательство","0=text; 2=dict(,pref=)",",O=,(if '***'='210' then v210^c,|^D|v210^a,|; |v210^x,|; |v210^y  else v***^g,|^D|v***^d fi/)","13","8"
"488","H","Год издания","0=text",,"8","7"
"488","I","ISBN","0=text",,"9","7"
"488","J","Фонд","0=text; 1=menu(.mnu)","obsm.mnu","8","7"
"488","K","Обозначение и № 3-й единицы деления (Подраздел)","1=menu(.mnu); 2=dict(,pref=)","obn.mnu","13","7"
"488","L","Заглавие 3-й единицы деления (Подраздел)","0=text; 2=dict(,pref=)",",PL=,""^A""v200^a,""^W""v903,'^9'&unifor('+D'),&uf('+7W2#'v903)","13","8"
"488","M","СЕРИЯ - Обозначение и № в серии","1=menu(.mnu)","obs.mnu\\1","9","7"
"488","N","Сведения о переиздании","0=text; 1=menu(.mnu)","205.mnu\\1","12","7"
"488","O","Периодичность","0=text",,"1","1"
"488","P","Примечание","0=text; 1=menu(.mnu); 2=dict(,pref=)","33.mnu","16","9"
"488","Q","Заглавие серии","2=dict(,pref=)",",TS=,@!tmov46a","9","7"
"488","R","Обозначение и № 2-й единицы деления (Часть/Раздел)","1=menu(.mnu)","obn.mnu","12","7"
"488","S","Заглавие 2-й единицы деления (Часть/Раздел)","0=text",,"12","7"
"488","T","Шифр предмета в БД","0=text; 2=dict(,pref=)","@PRIVATE/gua/GUAR,I=,","9","8"
"488","U","Роль (Нехарактерное заглавие?)","2=dict(,pref=); 7=yes/no","rolzp.mnu","4","4"
"488","V","Обозначение и номер тома мн-ка","1=menu(.mnu)","obn.mnu","3","3"
"488","W","Другие авторы","0=text; 2=dict(,pref=)",",A=,@!amovu","15","9"
"488","X","ПЕРВЫЙ АВТОР (ФИО)","2=dict(,pref=)",",A=,@!amovog1","16","10"
"488","Y","Идентификационный номер нетекстового материала","0=text; 2=dict(,pref=)",",C=,@!488kzdC","15","9"
"488","Z","Название коллекции","2=dict(,pref=)",",COLL=,","9","8"
"500","!","Индикатор 2: (заголовка основной записи)","1=menu(.mnu)","500.mnu","3","3"
"500","(","Тип заглавия","1=menu(.mnu)","tz_200.mnu","1","1"
"500",")","Вид данных","1=menu(.mnu)","500.mnu","1","1"
"500",",","Музык. произведение - цифровое обозначение","1=menu(.mnu)","125_7.mnu\\","1","1"
"500",".","Дата публикации","0=text",,"1","1"
"500",":","Общее обозначение материала","1=menu(.mnu)","200b.mnu\\","1","1"
"500",";","Музык. произведение - средства исполнения","1=menu(.mnu)","125_8.mnu\\","1","1"
"500","+","Подзаголовок формы (сведения к заглавию)","1=menu(.mnu)","pzf_200.mnu\\","1","1"
"500","<","Музык. произведение - ключ (тональность)","1=menu(.mnu)","125_6.mnu\\","1","1"
"500",">","Прочие сведения (текст)","0=text",,"1","1"
"500","0","Индикатор 1: (значимости заглавия)","1=menu(.mnu)","512.mnu","3","3"
"500","1","Неотъемлемая часть имени(выводится в скобках)","0=text",,"1","1"
